bin.chrom	bin.start.chrompos	bin.start.abspos	bin.end.chrompos	median.len	median.len.ratio
chr1	72165817	72165817	72771129	256.0	0.000203060019307
chr1	72771129	72771129	73341048	252.0	0.000199887206505
chr1	73341048	73341048	73941694	263.0	0.000208612441709
chr1	73941694	73941694	74544791	260.0	0.000206232832108
chr1	74544791	74544791	75135145	266.0	0.000210992051311
chr1	75135145	75135145	75736367	255.0	0.000202266816106
chr1	75736367	75736367	76358016	255.0	0.000202266816106
chr1	76358016	76358016	76899409	248.0	0.000196714393703
chr1	76899409	76899409	77484274	254.0	0.000201473612906
chr1	77484274	77484274	78049714	254.0	0.000201473612906
chr1	78049714	78049714	78634162	250.0	0.000198300800104
chr1	78634162	78634162	79251824	264.0	0.00020940564491
chr1	79251824	79251824	79843007	250.0	0.000198300800104
chr1	79843007	79843007	80458985	245.0	0.000194334784102
chr1	80458985	80458985	81042049	250.0	0.000198300800104
chr1	81042049	81042049	81670160	261.0	0.000207026035309
chr1	81670160	81670160	82244313	261.0	0.000207026035309
chr1	82244313	82244313	82865569	260.0	0.000206232832108
chr1	82865569	82865569	83464715	260.0	0.000206232832108
chr1	83464715	83464715	84266183	248.0	0.000196714393703
chr1	84266183	84266183	84854579	251.0	0.000199094003304
chr1	84854579	84854579	85398429	254.0	0.000201473612906
chr1	85398429	85398429	85970826	261.0	0.000207026035309
chr1	85970826	85970826	86592518	254.0	0.000201473612906
chr1	86592518	86592518	87203517	257.0	0.000203853222507
chr1	87203517	87203517	87769466	255.0	0.000202266816106
chr1	87769466	87769466	88314334	249.0	0.000197507596904
chr1	88314334	88314334	88875229	246.0	0.000195127987302
chr1	88875229	88875229	89465702	259.0	0.000205439628908
chr1	89465702	89465702	90072391	256.0	0.000203060019307
chr1	90072391	90072391	90660323	255.0	0.000202266816106
chr1	90660323	90660323	91241188	257.0	0.000203853222507
chr1	91241188	91241188	91846313	257.0	0.000203853222507
chr1	91846313	91846313	92424116	254.0	0.000201473612906
chr1	92424116	92424116	93009367	258.0	0.000204646425707
chr1	93009367	93009367	93588681	248.0	0.000196714393703
chr1	93588681	93588681	94170681	249.0	0.000197507596904
chr1	94170681	94170681	94744538	254.0	0.000201473612906
chr1	94744538	94744538	95326798	253.0	0.000200680409705
chr1	95326798	95326798	95902042	255.0	0.000202266816106
chr1	95902042	95902042	96473247	254.0	0.000201473612906
chr1	96473247	96473247	97046141	259.0	0.000205439628908
chr1	97046141	97046141	97630767	253.0	0.000200680409705
chr1	97630767	97630767	98216314	257.0	0.000203853222507
chr1	98216314	98216314	98807840	254.0	0.000201473612906
chr1	98807840	98807840	99397066	254.0	0.000201473612906
chr1	99397066	99397066	99961133	252.0	0.000199887206505
chr1	99961133	99961133	100546141	251.0	0.000199094003304
chr1	100546141	100546141	101155636	257.0	0.000203853222507
chr1	101155636	101155636	101756965	257.0	0.000203853222507
chr1	101756965	101756965	102336380	242.0	0.000191955174501
chr1	102336380	102336380	102960092	255.0	0.000202266816106
chr1	102960092	102960092	103589428	261.0	0.000207026035309
chr1	103589428	103589428	104592917	263.0	0.000208612441709
chr1	104592917	104592917	105226764	256.0	0.000203060019307
chr1	105226764	105226764	105884382	262.0	0.000207819238509
chr1	105884382	105884382	106514744	265.0	0.00021019884811
chr1	106514744	106514744	107139765	256.0	0.000203060019307
chr1	107139765	107139765	107760517	255.0	0.000202266816106
chr1	107760517	107760517	108312385	249.0	0.000197507596904
chr1	108312385	108312385	109108285	253.0	0.000200680409705
chr1	109108285	109108285	109675178	255.0	0.000202266816106
chr1	109675178	109675178	110231502	261.0	0.000207026035309
chr1	110231502	110231502	110798676	248.0	0.000196714393703
chr1	110798676	110798676	111339749	252.0	0.000199887206505
chr1	111339749	111339749	111936327	255.0	0.000202266816106
chr1	111936327	111936327	112528386	260.0	0.000206232832108
chr1	112528386	112528386	113098783	248.0	0.000196714393703
chr1	113098783	113098783	113677573	258.0	0.000204646425707
chr1	113677573	113677573	114269851	251.0	0.000199094003304
chr1	114269851	114269851	114854945	249.0	0.000197507596904
chr1	114854945	114854945	115430286	251.0	0.000199094003304
chr1	115430286	115430286	115981213	250.0	0.000198300800104
chr1	115981213	115981213	116531772	248.0	0.000196714393703
chr1	116531772	116531772	117107429	242.0	0.000191955174501
chr1	117107429	117107429	117690465	249.0	0.000197507596904
chr1	117690465	117690465	118300436	249.0	0.000197507596904
chr1	118300436	118300436	118879941	253.0	0.000200680409705
chr1	118879941	118879941	119485937	259.0	0.000205439628908
chr1	119485937	119485937	120073616	245.0	0.000194334784102
chr1	120073616	120073616	121174370	246.0	0.000195127987302
chr1	121174370	121174370	145108852	269.0	0.000213371660912
chr1	145108852	145108852	146608213	261.0	0.000207026035309
chr1	146608213	146608213	147198641	248.0	0.000196714393703
chr1	147198641	147198641	149240951	257.0	0.000203853222507
chr1	149240951	149240951	150338814	254.0	0.000201473612906
chr1	150338814	150338814	150908620	259.0	0.000205439628908
chr1	150908620	150908620	151470227	256.0	0.000203060019307
chr1	151470227	151470227	152062958	255.0	0.000202266816106
chr1	152062958	152062958	152673564	246.0	0.000195127987302
chr1	152673564	152673564	153249848	246.0	0.000195127987302
chr1	153249848	153249848	153818006	258.0	0.000204646425707
chr1	153818006	153818006	154370257	256.0	0.000203060019307
chr1	154370257	154370257	154952043	253.0	0.000200680409705
chr1	154952043	154952043	155509983	257.0	0.000203853222507
chr1	155509983	155509983	156082486	255.0	0.000202266816106
chr1	156082486	156082486	156658765	250.0	0.000198300800104
chr1	156658765	156658765	157262104	263.0	0.000208612441709
chr1	157262104	157262104	157832638	250.0	0.000198300800104
chr1	157832638	157832638	158446651	254.0	0.000201473612906
chr1	158446651	158446651	159050372	257.0	0.000203853222507
chr1	159050372	159050372	159657363	258.0	0.000204646425707
chr1	159657363	159657363	160216178	251.0	0.000199094003304
chr1	160216178	160216178	160810940	249.0	0.000197507596904
chr1	160810940	160810940	161370888	258.0	0.000204646425707
chr1	161370888	161370888	162108897	253.0	0.000200680409705
chr1	162108897	162108897	162671420	249.0	0.000197507596904
chr1	162671420	162671420	163265632	249.0	0.000197507596904
chr1	163265632	163265632	163856485	254.0	0.000201473612906
chr1	163856485	163856485	164437232	251.0	0.000199094003304
chr1	164437232	164437232	164968755	255.0	0.000202266816106
chr1	164968755	164968755	165518933	254.0	0.000201473612906
chr1	165518933	165518933	166097206	253.0	0.000200680409705
chr1	166097206	166097206	166681673	242.0	0.000191955174501
chr1	166681673	166681673	167244006	259.0	0.000205439628908
chr1	167244006	167244006	167806354	249.0	0.000197507596904
chr1	167806354	167806354	168369683	259.0	0.000205439628908
chr1	168369683	168369683	168924009	253.0	0.000200680409705
chr1	168924009	168924009	169517529	260.0	0.000206232832108
chr1	169517529	169517529	170130470	249.0	0.000197507596904
chr1	170130470	170130470	170734521	251.0	0.000199094003304
chr1	170734521	170734521	171296486	253.0	0.000200680409705
chr1	171296486	171296486	171852814	248.0	0.000196714393703
chr1	171852814	171852814	172444887	249.0	0.000197507596904
chr1	172444887	172444887	173033825	252.0	0.000199887206505
chr1	173033825	173033825	173620294	249.0	0.000197507596904
chr1	173620294	173620294	174245894	250.0	0.000198300800104
chr1	174245894	174245894	174876296	256.0	0.000203060019307
chr1	174876296	174876296	175428194	245.0	0.000194334784102
chr1	175428194	175428194	175939969	244.0	0.000193541580902
chr1	175939969	175939969	176560221	263.0	0.000208612441709
chr1	176560221	176560221	177094002	248.0	0.000196714393703
chr1	177094002	177094002	177688305	252.0	0.000199887206505
chr1	177688305	177688305	178278863	250.0	0.000198300800104
chr1	178278863	178278863	178855507	259.0	0.000205439628908
chr1	178855507	178855507	179407621	260.0	0.000206232832108
chr1	179407621	179407621	179999036	252.0	0.000199887206505
chr1	179999036	179999036	180576304	263.0	0.000208612441709
chr1	180576304	180576304	181153132	249.0	0.000197507596904
chr1	181153132	181153132	181696049	245.0	0.000194334784102
chr1	181696049	181696049	182224681	238.0	0.000188782361699
chr1	182224681	182224681	182777767	248.0	0.000196714393703
chr1	182777767	182777767	183332320	253.0	0.000200680409705
chr1	183332320	183332320	183876081	251.5	0.000199490604905
chr1	183876081	183876081	184413347	253.0	0.000200680409705
chr1	184413347	184413347	184954374	244.0	0.000193541580902
chr1	184954374	184954374	185554139	249.0	0.000197507596904
chr1	185554139	185554139	186137132	259.0	0.000205439628908
chr1	186137132	186137132	186736399	253.5	0.000201077011306
chr1	186736399	186736399	187337469	248.5	0.000197110995303
chr1	187337469	187337469	187937652	258.0	0.000204646425707
chr1	187937652	187937652	188565778	263.0	0.000208612441709
chr1	188565778	188565778	189184402	262.5	0.000208215840109
chr1	189184402	189184402	189781620	245.0	0.000194334784102
chr1	189781620	189781620	190377899	258.5	0.000205043027308
chr1	190377899	190377899	190981017	253.5	0.000201077011306
chr1	190981017	190981017	191574007	245.0	0.000194334784102
chr1	191574007	191574007	192179165	271.0	0.000214958067313
chr1	192179165	192179165	192759589	257.0	0.000203853222507
chr1	192759589	192759589	193369828	261.5	0.000207422636909
chr1	193369828	193369828	193957187	257.0	0.000203853222507
chr1	193957187	193957187	194574394	248.0	0.000196714393703
chr1	194574394	194574394	195205678	261.0	0.000207026035309
chr1	195205678	195205678	195812104	257.0	0.000203853222507
chr1	195812104	195812104	196431345	256.0	0.000203060019307
chr1	196431345	196431345	197102353	257.0	0.000203853222507
chr1	197102353	197102353	197695278	263.5	0.00020900904331
chr1	197695278	197695278	198314955	256.0	0.000203060019307
chr1	198314955	198314955	198892576	257.0	0.000203853222507
chr1	198892576	198892576	199477563	254.0	0.000201473612906
chr1	199477563	199477563	200057322	251.5	0.000199490604905
chr1	200057322	200057322	200591707	241.5	0.000191558572901
chr1	200591707	200591707	201137989	251.5	0.000199490604905
chr1	201137989	201137989	201684353	247.0	0.000195921190503
chr1	201684353	201684353	202205253	246.5	0.000195524588903
chr1	202205253	202205253	202835420	253.0	0.000200680409705
chr1	202835420	202835420	203392821	252.0	0.000199887206505
chr1	203392821	203392821	203936220	243.0	0.000192748377701
chr1	203936220	203936220	204466936	247.0	0.000195921190503
chr1	204466936	204466936	205008349	258.0	0.000204646425707
chr1	205008349	205008349	205556516	254.0	0.000201473612906
chr1	205556516	205556516	206625285	252.0	0.000199887206505
chr1	206625285	206625285	207175191	240.0	0.0001903687681
chr1	207175191	207175191	207797383	257.0	0.000203853222507
chr1	207797383	207797383	208367848	245.0	0.000194334784102
chr1	208367848	208367848	208935589	256.0	0.000203060019307
chr1	208935589	208935589	209494015	246.5	0.000195524588903
chr1	209494015	209494015	210026765	238.0	0.000188782361699
chr1	210026765	210026765	210612303	257.5	0.000204249824107
chr1	210612303	210612303	211155250	246.5	0.000195524588903
chr1	211155250	211155250	211724270	256.5	0.000203456620907
chr1	211724270	211724270	212292259	257.5	0.000204249824107
chr1	212292259	212292259	212851448	247.0	0.000195921190503
chr1	212851448	212851448	213431562	259.0	0.000205439628908
chr1	213431562	213431562	213994885	251.0	0.000199094003304
chr1	213994885	213994885	214555154	246.0	0.000195127987302
chr1	214555154	214555154	215105035	253.0	0.000200680409705
chr1	215105035	215105035	215665771	245.0	0.000194334784102
chr1	215665771	215665771	216263685	260.0	0.000206232832108
chr1	216263685	216263685	216841112	260.0	0.000206232832108
chr1	216841112	216841112	217394494	249.0	0.000197507596904
chr1	217394494	217394494	217978578	269.0	0.000213371660912
chr1	217978578	217978578	218578993	251.0	0.000199094003304
chr1	218578993	218578993	219159757	251.0	0.000199094003304
chr1	219159757	219159757	219727397	253.0	0.000200680409705
chr1	219727397	219727397	220332463	251.0	0.000199094003304
chr1	220332463	220332463	220902361	249.0	0.000197507596904
chr1	220902361	220902361	221481701	253.0	0.000200680409705
chr1	221481701	221481701	222041008	252.0	0.000199887206505
chr1	222041008	222041008	222587245	242.5	0.000192351776101
chr1	222587245	222587245	223215566	251.5	0.000199490604905
chr1	223215566	223215566	223825090	241.5	0.000191558572901
chr1	223825090	223825090	224490702	254.0	0.000201473612906
chr1	224490702	224490702	225012871	246.0	0.000195127987302
chr1	225012871	225012871	225625186	261.5	0.000207422636909
chr1	225625186	225625186	226177813	260.5	0.000206629433708
chr1	226177813	226177813	226744282	253.0	0.000200680409705
chr1	226744282	226744282	227283442	240.0	0.0001903687681
chr1	227283442	227283442	227895850	251.0	0.000199094003304
chr1	227895850	227895850	228443783	242.0	0.000191955174501
chr1	228443783	228443783	229056283	249.0	0.000197507596904
chr1	229056283	229056283	229592944	248.0	0.000196714393703
chr1	229592944	229592944	230127016	248.0	0.000196714393703
chr1	230127016	230127016	230653517	253.5	0.000201077011306
chr1	230653517	230653517	231206983	256.0	0.000203060019307
chr1	231206983	231206983	231762616	253.5	0.000201077011306
chr1	231762616	231762616	232310733	241.0	0.0001911619713
chr1	232310733	232310733	232855430	250.0	0.000198300800104
chr1	232855430	232855430	233411298	253.0	0.000200680409705
chr1	233411298	233411298	233968624	246.5	0.000195524588903
chr1	233968624	233968624	234496087	238.0	0.000188782361699
chr1	234496087	234496087	235074188	254.5	0.000201870214506
chr1	235074188	235074188	235689934	247.0	0.000195921190503
chr1	235689934	235689934	236230522	247.0	0.000195921190503
chr1	236230522	236230522	236792469	252.5	0.000200283808105
chr1	236792469	236792469	237356867	249.0	0.000197507596904
chr1	237356867	237356867	237912013	249.0	0.000197507596904
chr1	237912013	237912013	238480878	258.0	0.000204646425707
chr1	238480878	238480878	239047717	257.0	0.000203853222507
chr1	239047717	239047717	239643559	253.5	0.000201077011306
chr1	239643559	239643559	240204100	253.0	0.000200680409705
chr1	240204100	240204100	240759456	255.0	0.000202266816106
chr1	240759456	240759456	241292453	259.0	0.000205439628908
chr1	241292453	241292453	241868013	249.5	0.000197904198504
chr1	241868013	241868013	242402038	245.0	0.000194334784102
chr1	242402038	242402038	243021178	253.0	0.000200680409705
chr1	243021178	243021178	243784161	257.5	0.000204249824107
chr1	243784161	243784161	244343019	249.0	0.000197507596904
chr1	244343019	244343019	244922023	258.5	0.000205043027308
chr1	244922023	244922023	245471774	260.0	0.000206232832108
chr1	245471774	245471774	246027372	249.0	0.000197507596904
chr1	246027372	246027372	246603962	254.0	0.000201473612906
chr1	246603962	246603962	247210804	253.0	0.000200680409705
chr1	247210804	247210804	247757910	242.0	0.000191955174501
chr1	247757910	247757910	248370285	242.5	0.000192351776101
chr1	248370285	248370285	249250621	250.0	0.000198300800104
chr2	0	249250621	565324	232.0	0.000184023142497
chr2	565324	249815945	1131224	239.0	0.000189575564899
chr2	1131224	250381845	1731126	248.0	0.000196714393703
chr2	1731126	250981747	2273690	238.0	0.000188782361699
chr2	2273690	251524311	2832163	234.0	0.000185609548897
chr2	2832163	252082784	3400660	251.0	0.000199094003304
chr2	3400660	252651281	4007844	251.0	0.000199094003304
chr2	4007844	253258465	4565300	252.0	0.000199887206505
chr2	4565300	253815921	5225385	252.0	0.000199887206505
chr2	5225385	254476006	5787747	243.0	0.000192748377701
chr2	5787747	255038368	6341698	248.0	0.000196714393703
chr2	6341698	255592319	6879381	241.0	0.0001911619713
chr2	6879381	256130002	7419975	243.0	0.000192748377701
chr2	7419975	256670596	7960922	247.0	0.000195921190503
chr2	7960922	257211543	8512705	242.0	0.000191955174501
chr2	8512705	257763326	9067978	245.0	0.000194334784102
chr2	9067978	258318599	9631048	248.0	0.000196714393703
chr2	9631048	258881669	10189425	251.0	0.000199094003304
chr2	10189425	259440046	10750340	253.0	0.000200680409705
chr2	10750340	260000961	11290602	250.0	0.000198300800104
chr2	11290602	260541223	11852879	258.0	0.000204646425707
chr2	11852879	261103500	12366161	243.0	0.000192748377701
chr2	12366161	261616782	12939009	246.0	0.000195127987302
chr2	12939009	262189630	13509504	252.0	0.000199887206505
chr2	13509504	262760125	14127549	254.0	0.000201473612906
chr2	14127549	263378170	14708467	253.0	0.000200680409705
chr2	14708467	263959088	15264618	243.0	0.000192748377701
chr2	15264618	264515239	15823921	256.0	0.000203060019307
chr2	15823921	265074542	16402605	248.0	0.000196714393703
chr2	16402605	265653226	16961526	247.0	0.000195921190503
chr2	16961526	266212147	17504443	252.0	0.000199887206505
chr2	17504443	266755064	18096216	248.0	0.000196714393703
chr2	18096216	267346837	18678261	247.0	0.000195921190503
chr2	18678261	267928882	19262157	251.0	0.000199094003304
chr2	19262157	268512778	19876492	256.0	0.000203060019307
chr2	19876492	269127113	20434763	250.0	0.000198300800104
chr2	20434763	269685384	20979215	249.0	0.000197507596904
chr2	20979215	270229836	21575900	245.0	0.000194334784102
chr2	21575900	270826521	22150016	249.5	0.000197904198504
chr2	22150016	271400637	22723011	250.5	0.000198697401704
chr2	22723011	271973632	23275024	251.5	0.000199490604905
chr2	23275024	272525645	23814383	240.0	0.0001903687681
chr2	23814383	273065004	24381929	258.5	0.000205043027308
chr2	24381929	273632550	24937339	245.0	0.000194334784102
chr2	24937339	274187960	25492374	250.0	0.000198300800104
chr2	25492374	274742995	26061853	259.0	0.000205439628908
chr2	26061853	275312474	26596902	256.0	0.000203060019307
chr2	26596902	275847523	27123409	251.0	0.000199094003304
chr2	27123409	276374030	27690454	250.0	0.000198300800104
chr2	27690454	276941075	28264576	257.0	0.000203853222507
chr2	28264576	277515197	28805812	241.5	0.000191558572901
chr2	28805812	278056433	29358077	245.0	0.000194334784102
chr2	29358077	278608698	29872600	248.5	0.000197110995303
chr2	29872600	279123221	30414417	246.0	0.000195127987302
chr2	30414417	279665038	30970285	249.5	0.000197904198504
chr2	30970285	280220906	31513718	249.0	0.000197507596904
chr2	31513718	280764339	32107259	253.0	0.000200680409705
chr2	32107259	281357880	32698368	268.5	0.000212975059312
chr2	32698368	281948989	33249084	257.0	0.000203853222507
chr2	33249084	282499705	33801581	248.5	0.000197110995303
chr2	33801581	283052202	34355143	247.0	0.000195921190503
chr2	34355143	283605764	34939336	253.0	0.000200680409705
chr2	34939336	284189957	35533228	251.0	0.000199094003304
chr2	35533228	284783849	36146917	261.0	0.000207026035309
chr2	36146917	285397538	36733375	256.0	0.000203060019307
chr2	36733375	285983996	37321155	262.0	0.000207819238509
chr2	37321155	286571776	37888922	253.5	0.000201077011306
chr2	37888922	287139543	38465152	249.5	0.000197904198504
chr2	38465152	287715773	39028123	256.0	0.000203060019307
chr2	39028123	288278744	39584313	253.5	0.000201077011306
chr2	39584313	288834934	40166185	248.0	0.000196714393703
chr2	40166185	289416806	40729790	253.0	0.000200680409705
chr2	40729790	289980411	41324422	253.5	0.000201077011306
chr2	41324422	290575043	41922426	251.0	0.000199094003304
chr2	41922426	291173047	42479602	244.0	0.000193541580902
chr2	42479602	291730223	43042573	247.0	0.000195921190503
chr2	43042573	292293194	43580747	254.5	0.000201870214506
chr2	43580747	292831368	44174126	254.0	0.000201473612906
chr2	44174126	293424747	44738043	255.0	0.000202266816106
chr2	44738043	293988664	45325136	254.0	0.000201473612906
chr2	45325136	294575757	45881465	251.0	0.000199094003304
chr2	45881465	295132086	46410096	253.0	0.000200680409705
chr2	46410096	295660717	46978802	246.5	0.000195524588903
chr2	46978802	296229423	47525326	244.0	0.000193541580902
chr2	47525326	296775947	48063657	254.0	0.000201473612906
chr2	48063657	297314278	48637616	254.5	0.000201870214506
chr2	48637616	297888237	49206824	252.5	0.000200283808105
chr2	49206824	298457445	49806287	252.0	0.000199887206505
chr2	49806287	299056908	50401528	260.0	0.000206232832108
chr2	50401528	299652149	50986154	259.5	0.000205836230508
chr2	50986154	300236775	51595932	261.0	0.000207026035309
chr2	51595932	300846553	52220970	253.0	0.000200680409705
chr2	52220970	301471591	52845315	269.0	0.000213371660912
chr2	52845315	302095936	53420256	249.0	0.000197507596904
chr2	53420256	302670877	53987236	249.5	0.000197904198504
chr2	53987236	303237857	54537918	248.0	0.000196714393703
chr2	54537918	303788539	55112039	261.5	0.000207422636909
chr2	55112039	304362660	55689934	257.5	0.000204249824107
chr2	55689934	304940555	56279824	262.5	0.000208215840109
chr2	56279824	305530445	56880285	252.5	0.000200283808105
chr2	56880285	306130906	57496927	249.0	0.000197507596904
chr2	57496927	306747548	58095997	249.0	0.000197507596904
chr2	58095997	307346618	58719849	259.0	0.000205439628908
chr2	58719849	307970470	59277196	251.5	0.000199490604905
chr2	59277196	308527817	59833440	248.0	0.000196714393703
chr2	59833440	309084061	60410410	247.0	0.000195921190503
chr2	60410410	309661031	60956894	245.0	0.000194334784102
chr2	60956894	310207515	61522660	253.5	0.000201077011306
chr2	61522660	310773281	62053054	253.5	0.000201077011306
chr2	62053054	311303675	62615176	258.5	0.000205043027308
chr2	62615176	311865797	63221457	257.0	0.000203853222507
chr2	63221457	312472078	63820759	255.0	0.000202266816106
chr2	63820759	313071380	64423569	260.5	0.000206629433708
chr2	64423569	313674190	64994599	253.0	0.000200680409705
chr2	64994599	314245220	65543779	246.0	0.000195127987302
